"","Local Authorities","1","2","3","4","5","6","7","8"
"1","Aberdeen City",0.0145582329317269,0.248493975903614,0.0271084337349398,0.00502008032128514,0.14859437751004,0.169678714859438,0.248493975903614,0.138052208835341
"2","Aberdeenshire",0.37678307919331,0.0029513034923758,0,0,0.0654205607476635,0.252828332513527,0.105263157894737,0.196753566158387
"3","Adur",0.004739336492891,0.004739336492891,0,0.004739336492891,0.355450236966825,0.303317535545024,0.132701421800948,0.194312796208531
"4","Allerdale",0.33125,0,0,0,0.071875,0.125,0.0875,0.384375
"5","Amber Valley",0.1825,0,0,0,0.115,0.3425,0.0375,0.3225
"6","Angus",0.243589743589744,0.000986193293885602,0,0,0.0867850098619329,0.201183431952663,0.269230769230769,0.198224852071006
"7","Antrim and Newtownabbey",0.147727272727273,0,0,0.00284090909090909,0.136363636363636,0.298295454545455,0.136363636363636,0.278409090909091
"8","Argyll and Bute",0.351050679851669,0.00494437577255871,0,0.00123609394313968,0.117428924598269,0.143386897404203,0.249690976514215,0.132262051915946
"9","Armagh, Banbridge and Craigavon",0.364025695931477,0,0,0.012847965738758,0.0642398286937901,0.169164882226981,0.0706638115631692,0.319057815845824
"10","Arun",0.146435452793834,0.0289017341040462,0,0.0134874759152216,0.289017341040462,0.277456647398844,0.10597302504817,0.138728323699422
"11","Ashfield",0.051948051948052,0,0,0.0025974025974026,0.101298701298701,0.348051948051948,0.0909090909090909,0.405194805194805
"12","Ashford",0.269333333333333,0,0,0.0506666666666667,0.245333333333333,0.176,0.0826666666666667,0.176
"13","Aylesbury Vale",0.24822695035461,0.0141843971631206,0.00531914893617021,0.179078014184397,0.24645390070922,0.212765957446809,0.0159574468085106,0.0780141843971631
"14","Babergh",0.435064935064935,0,0,0,0.142857142857143,0.188311688311688,0.0357142857142857,0.198051948051948
"15","Barking and Dagenham",0,0.00180831826401447,0.189873417721519,0.772151898734177,0.0108499095840868,0,0.0162748643761302,0.00904159132007233
"16","Barnet",0,0.0675675675675676,0.251930501930502,0.52992277992278,0.0936293436293436,0.055984555984556,0.000965250965250965,0
"17","Barnsley",0.0760157273918742,0.00131061598951507,0,0.0131061598951507,0.103538663171691,0.216251638269987,0.0747051114023591,0.515072083879423
"18","Barrow-in-Furness",0.0452674897119342,0,0,0,0.0740740740740741,0.292181069958848,0.160493827160494,0.42798353909465
"19","Basildon",0.0124777183600713,0.0017825311942959,0.0017825311942959,0.0427807486631016,0.185383244206774,0.285204991087344,0.204991087344029,0.265597147950089
"20","Basingstoke and Deane",0.12410071942446,0.0251798561151079,0.00179856115107914,0.079136690647482,0.285971223021583,0.232014388489209,0.0737410071942446,0.178057553956835
"21","Bassetlaw",0.265957446808511,0,0,0.00531914893617021,0.0718085106382979,0.247340425531915,0.0691489361702128,0.340425531914894
"22","Bath and North East Somerset",0.111492281303602,0.147512864493997,0.00514579759862779,0.0137221269296741,0.298456260720412,0.1852487135506,0.0583190394511149,0.180102915951973
"23","Bedford",0.109780439121756,0.0259481037924152,0.0439121756487026,0.339321357285429,0.181636726546906,0.227544910179641,0.0259481037924152,0.0459081836327345
"24","Belfast",0.00420609884332282,0.0672975814931651,0.0010515247108307,0.0126182965299685,0.172450052576236,0.174553101997897,0.251314405888538,0.316508937960042
"25","Bexley",0.00137362637362637,0.0151098901098901,0.0755494505494505,0.200549450549451,0.350274725274725,0.226648351648352,0.0659340659340659,0.0645604395604396
"26","Birmingham",0.000310269934843314,0.042506981073534,0.0598820974247595,0.519081600992864,0.115420415761713,0.099906919019547,0.0626745268383494,0.10021718895439
"27","Blaby",0.0777027027027027,0,0,0.0472972972972973,0.125,0.581081081081081,0.0202702702702703,0.148648648648649
"28","Blackburn with Darwen",0.0273972602739726,0,0.00684931506849315,0.321917808219178,0.105022831050228,0.214611872146119,0.0821917808219178,0.242009132420091
"29","Blackpool",0.001953125,0.01953125,0.001953125,0.001953125,0.35546875,0.177734375,0.25,0.19140625
"30","Blaenau Gwent",0.033195020746888,0,0,0,0.016597510373444,0.0871369294605809,0.0912863070539419,0.771784232365145
"31","Bolsover",0.138211382113821,0,0,0,0.0569105691056911,0.247967479674797,0.040650406504065,0.516260162601626
"32","Bolton",0.0146561443066516,0.00450958286358512,0.0112739571589628,0.225479143179256,0.138669673055242,0.271702367531003,0.0947012401352875,0.239007891770011
"33","Boston",0.452261306532663,0,0,0.0653266331658292,0.105527638190955,0.0753768844221105,0.125628140703518,0.175879396984925
"34","Bournemouth",0.00505050505050505,0.326599326599327,0.00673400673400673,0.0286195286195286,0.306397306397306,0.198653198653199,0.0673400673400673,0.0606060606060606
"35","Bracknell Forest",0.0108108108108108,0.0135135135135135,0.00540540540540541,0.1,0.375675675675676,0.22972972972973,0.0972972972972973,0.167567567567568
"36","Bradford",0.0215968586387435,0.012434554973822,0.0261780104712042,0.331151832460733,0.205497382198953,0.18979057591623,0.0785340314136126,0.134816753926702
"37","Braintree",0.207188160676533,0.00634249471458774,0,0.00634249471458774,0.230443974630021,0.19661733615222,0.0761099365750529,0.276955602536998
"38","Breckland",0.571100917431193,0,0,0.0114678899082569,0.121559633027523,0.0986238532110092,0.0573394495412844,0.139908256880734
"39","Brent",0,0.0168878166465621,0.481302774427021,0.495778045838359,0,0.0060313630880579,0,0
"40","Brentwood",0.0588235294117647,0.0378151260504202,0.00840336134453781,0.0126050420168067,0.336134453781513,0.369747899159664,0.0840336134453782,0.092436974789916
"41","Bridgend",0.0662251655629139,0,0,0,0.134657836644592,0.320088300220751,0.0838852097130243,0.39514348785872
