outcome_short,theta,se,ci_lower,ci_upper,p_value,significant_5pct
Recreation & culture,0.03814442561814782,0.005444488592887951,0.027473227976087436,0.048815623260208205,2.4511503937674206e-12,True
Restaurants & hotels,0.02854055164539983,0.0056902426204795565,0.0173876761092599,0.03969342718153976,5.284064101829244e-07,True
Transport,0.019346934395225328,0.004189370973429922,0.011135767287302681,0.027558101503147976,3.872694916751129e-06,True
Education,0.013961147786893313,0.005324615461558433,0.003524901482238784,0.02439739409154784,0.008741513972129189,True
Clothing & footwear,0.013621153946108237,0.0017594072833975404,0.010172715670649058,0.017069592221567415,9.769962616701378e-15,True
Household goods & services,0.00027358347140134096,0.0022349081956424084,-0.0041068365920577795,0.004654003534860461,0.9025713571835043,False
Health,-0.0010398402898660361,0.001516639855560354,-0.00401245440676433,0.001932773827032258,0.49295207082551906,False
"Alcoholic drink, tobacco & narcotics",-0.005618018958764405,0.0011126628666903618,-0.007798838177477514,-0.0034371997400512964,4.4374419005954735e-07,True
Communication,-0.007009513890633594,0.0006908348562938469,-0.008363550208969533,-0.0056554775722976545,0.0,True
Miscellaneous goods & services,-0.018818689374846487,0.004063955845504759,-0.026784042832035816,-0.010853335917657159,3.6454895357973527e-06,True
Food & non-alcoholic drinks,-0.03082631087924643,0.002980963008529363,-0.03666899837596398,-0.02498362338252888,0.0,True
"Housing (net), fuel & power",-0.058948866609880114,0.008108217007879441,-0.07484097194532383,-0.04305676127443641,3.588240815588506e-13,True
log_spending_intensity,-0.19846694052937677,0.07156079553973146,-0.33872609978725043,-0.05820778127150311,0.005547333860200565,True
